DATE,SECTOR,SALES (SEASONAL ADJ)
1999-12-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5455
1999-12-01,General Merchandise Stores,33101
1999-12-01,Miscellaneous Store Retailers,9489
1999-12-01,Nonstore Retailers,13528
1999-12-01,Food Services and Drinking Places,24378
2000-01-01,Motor Vehicle and Parts Dealers,67679
2000-01-01,Furniture and Home Furnishings Stores,7484
2000-01-01,Electronics and Appliance Stores,7605
2000-01-01,Building Mat. and Garden Equip. and Supplies Dealers,19613
2000-01-01,Food and Beverage Stores,35613
2000-01-01,Health and Personal Care Stores,12381
2000-01-01,Gasoline Stations,19358
2000-01-01,Clothing and Clothing Access. Stores,13301
2000-01-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5232
2000-01-01,General Merchandise Stores,32179
2000-01-01,Miscellaneous Store Retailers,9136
2000-01-01,Nonstore Retailers,13855
2000-01-01,Food Services and Drinking Places,24608
2000-02-01,Motor Vehicle and Parts Dealers,69085
2000-02-01,Furniture and Home Furnishings Stores,7548
2000-02-01,Electronics and Appliance Stores,7674
2000-02-01,Building Mat. and Garden Equip. and Supplies Dealers,19193
2000-02-01,Food and Beverage Stores,35980
2000-02-01,Health and Personal Care Stores,12386
2000-02-01,Gasoline Stations,20214
2000-02-01,Clothing and Clothing Access. Stores,13532
2000-02-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5541
2000-02-01,General Merchandise Stores,32576
2000-02-01,Miscellaneous Store Retailers,9163
2000-02-01,Nonstore Retailers,14241
2000-02-01,Food Services and Drinking Places,24887
2000-03-01,Motor Vehicle and Parts Dealers,68433
2000-03-01,Furniture and Home Furnishings Stores,7599
2000-03-01,Electronics and Appliance Stores,7652
2000-03-01,Building Mat. and Garden Equip. and Supplies Dealers,20175
2000-03-01,Food and Beverage Stores,36559
2000-03-01,Health and Personal Care Stores,12580
2000-03-01,Gasoline Stations,20819
2000-03-01,Clothing and Clothing Access. Stores,13818
2000-03-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5635
2000-03-01,General Merchandise Stores,33105
2000-03-01,Miscellaneous Store Retailers,9189
2000-03-01,Nonstore Retailers,14261
2000-03-01,Food Services and Drinking Places,25367
2000-04-01,Motor Vehicle and Parts Dealers,65812
2000-04-01,Furniture and Home Furnishings Stores,7729
2000-04-01,Electronics and Appliance Stores,7813
2000-04-01,Building Mat. and Garden Equip. and Supplies Dealers,18986
2000-04-01,Food and Beverage Stores,37008
2000-04-01,Health and Personal Care Stores,12733
2000-04-01,Gasoline Stations,19907
2000-04-01,Clothing and Clothing Access. Stores,13801
2000-04-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5649
2000-04-01,General Merchandise Stores,32879
2000-04-01,Miscellaneous Store Retailers,9056
2000-04-01,Nonstore Retailers,14458
2000-04-01,Food Services and Drinking Places,25215
2000-05-01,Motor Vehicle and Parts Dealers,65781
2000-05-01,Furniture and Home Furnishings Stores,7673
2000-05-01,Electronics and Appliance Stores,7611
2000-05-01,Building Mat. and Garden Equip. and Supplies Dealers,18941
2000-05-01,Food and Beverage Stores,36717
2000-05-01,Health and Personal Care Stores,12814
2000-05-01,Gasoline Stations,20242
2000-05-01,Clothing and Clothing Access. Stores,14027
2000-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5757
2000-05-01,General Merchandise Stores,33339
2000-05-01,Miscellaneous Store Retailers,8760
2000-05-01,Nonstore Retailers,14539
2000-05-01,Food Services and Drinking Places,25193
2000-06-01,Motor Vehicle and Parts Dealers,66638
2000-06-01,Furniture and Home Furnishings Stores,7593
2000-06-01,Electronics and Appliance Stores,7435
2000-06-01,Building Mat. and Garden Equip. and Supplies Dealers,18878
2000-06-01,Food and Beverage Stores,37175
2000-06-01,Health and Personal Care Stores,12864
2000-06-01,Gasoline Stations,20885
2000-06-01,Clothing and Clothing Access. Stores,13864
2000-06-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5686
2000-06-01,General Merchandise Stores,33408
2000-06-01,Miscellaneous Store Retailers,8785
2000-06-01,Nonstore Retailers,14949
2000-06-01,Food Services and Drinking Places,25262
2000-07-01,Motor Vehicle and Parts Dealers,65205
2000-07-01,Furniture and Home Furnishings Stores,7748
2000-07-01,Electronics and Appliance Stores,7397
2000-07-01,Building Mat. and Garden Equip. and Supplies Dealers,18982
2000-07-01,Food and Beverage Stores,37038
2000-07-01,Health and Personal Care Stores,12967
2000-07-01,Gasoline Stations,20905
2000-07-01,Clothing and Clothing Access. Stores,13722
2000-07-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5800
2000-07-01,General Merchandise Stores,33586
2000-07-01,Miscellaneous Store Retailers,8789
2000-07-01,Nonstore Retailers,15037
2000-07-01,Food Services and Drinking Places,25454
2000-08-01,Motor Vehicle and Parts Dealers,65311
2000-08-01,Furniture and Home Furnishings Stores,7682
2000-08-01,Electronics and Appliance Stores,7440
2000-08-01,Building Mat. and Garden Equip. and Supplies Dealers,18951
2000-08-01,Food and Beverage Stores,37110
2000-08-01,Health and Personal Care Stores,13034
2000-08-01,Gasoline Stations,20574
2000-08-01,Clothing and Clothing Access. Stores,14072
2000-08-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5633
2000-08-01,General Merchandise Stores,33823
2000-08-01,Miscellaneous Store Retailers,8666
2000-08-01,Nonstore Retailers,15280
2000-08-01,Food Services and Drinking Places,25342
2000-09-01,Motor Vehicle and Parts Dealers,66850
2000-09-01,Furniture and Home Furnishings Stores,7665
2000-09-01,Electronics and Appliance Stores,7588
2000-09-01,Building Mat. and Garden Equip. and Supplies Dealers,18926
2000-09-01,Food and Beverage Stores,37308
2000-09-01,Health and Personal Care Stores,13233
2000-09-01,Gasoline Stations,21327
2000-09-01,Clothing and Clothing Access. Stores,14366
2000-09-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5728
2000-09-01,General Merchandise Stores,34146
2000-09-01,Miscellaneous Store Retailers,8925
2000-09-01,Nonstore Retailers,15775
2000-09-01,Food Services and Drinking Places,25711
2000-10-01,Motor Vehicle and Parts Dealers,66208
2000-10-01,Furniture and Home Furnishings Stores,7737
2000-10-01,Electronics and Appliance Stores,7416
2000-10-01,Building Mat. and Garden Equip. and Supplies Dealers,18965
2000-10-01,Food and Beverage Stores,37476
2000-10-01,Health and Personal Care Stores,13302
2000-10-01,Gasoline Stations,21412
2000-10-01,Clothing and Clothing Access. Stores,14231
2000-10-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5626
2000-10-01,General Merchandise Stores,34280
2000-10-01,Miscellaneous Store Retailers,8870
2000-10-01,Nonstore Retailers,15698
2000-10-01,Food Services and Drinking Places,25706
2000-11-01,Motor Vehicle and Parts Dealers,64645
2000-11-01,Furniture and Home Furnishings Stores,7580
2000-11-01,Electronics and Appliance Stores,7392
2000-11-01,Building Mat. and Garden Equip. and Supplies Dealers,18689
2000-11-01,Food and Beverage Stores,37700
2000-11-01,Health and Personal Care Stores,13340
2000-11-01,Gasoline Stations,21906
2000-11-01,Clothing and Clothing Access. Stores,14294
2000-11-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5615
2000-11-01,General Merchandise Stores,34458
2000-11-01,Miscellaneous Store Retailers,8829
2000-11-01,Nonstore Retailers,15883
2000-11-01,Food Services and Drinking Places,25698
2000-12-01,Motor Vehicle and Parts Dealers,63524
2000-12-01,Furniture and Home Furnishings Stores,7160
2000-12-01,Electronics and Appliance Stores,7346
2000-12-01,Building Mat. and Garden Equip. and Supplies Dealers,19356
2000-12-01,Food and Beverage Stores,38033
2000-12-01,Health and Personal Care Stores,13527
2000-12-01,Gasoline Stations,22124
2000-12-01,Clothing and Clothing Access. Stores,14084
2000-12-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5601
2000-12-01,General Merchandise Stores,34734
2000-12-01,Miscellaneous Store Retailers,8631
2000-12-01,Nonstore Retailers,16538
2000-12-01,Food Services and Drinking Places,25133
2001-01-01,Motor Vehicle and Parts Dealers,65926
2001-01-01,Furniture and Home Furnishings Stores,7764
2001-01-01,Electronics and Appliance Stores,7376
2001-01-01,Building Mat. and Garden Equip. and Supplies Dealers,19248
2001-01-01,Food and Beverage Stores,37903
2001-01-01,Health and Personal Care Stores,13413
2001-01-01,Gasoline Stations,21931
2001-01-01,Clothing and Clothing Access. Stores,14135
2001-01-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5386
2001-01-01,General Merchandise Stores,35601
2001-01-01,Miscellaneous Store Retailers,8466
2001-01-01,Nonstore Retailers,15505
2001-01-01,Food Services and Drinking Places,26180
2001-02-01,Motor Vehicle and Parts Dealers,66188
2001-02-01,Furniture and Home Furnishings Stores,7611
2001-02-01,Electronics and Appliance Stores,7334
2001-02-01,Building Mat. and Garden Equip. and Supplies Dealers,19698
2001-02-01,Food and Beverage Stores,38252
2001-02-01,Health and Personal Care Stores,13582
2001-02-01,Gasoline Stations,21615
2001-02-01,Clothing and Clothing Access. Stores,14166
2001-02-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5715
2001-02-01,General Merchandise Stores,34655
2001-02-01,Miscellaneous Store Retailers,8665
2001-02-01,Nonstore Retailers,15223
2001-02-01,Food Services and Drinking Places,26069
2001-03-01,Motor Vehicle and Parts Dealers,65671
2001-03-01,Furniture and Home Furnishings Stores,7549
2001-03-01,Electronics and Appliance Stores,7267
2001-03-01,Building Mat. and Garden Equip. and Supplies Dealers,19562
2001-03-01,Food and Beverage Stores,38133
2001-03-01,Health and Personal Care Stores,13650
2001-03-01,Gasoline Stations,20652
2001-03-01,Clothing and Clothing Access. Stores,13801
2001-03-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5723
2001-03-01,General Merchandise Stores,34069
2001-03-01,Miscellaneous Store Retailers,8897
2001-03-01,Nonstore Retailers,15354
2001-03-01,Food Services and Drinking Places,26122
2001-04-01,Motor Vehicle and Parts Dealers,66933
2001-04-01,Furniture and Home Furnishings Stores,7560
2001-04-01,Electronics and Appliance Stores,7212
2001-04-01,Building Mat. and Garden Equip. and Supplies Dealers,20373
2001-04-01,Food and Beverage Stores,38369
2001-04-01,Health and Personal Care Stores,13643
2001-04-01,Gasoline Stations,21618
2001-04-01,Clothing and Clothing Access. Stores,14217
2001-04-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5658
2001-04-01,General Merchandise Stores,35364
2001-04-01,Miscellaneous Store Retailers,8527
2001-04-01,Nonstore Retailers,15289
2001-04-01,Food Services and Drinking Places,26045
2001-05-01,Motor Vehicle and Parts Dealers,67039
2001-05-01,Furniture and Home Furnishings Stores,7559
2001-05-01,Electronics and Appliance Stores,7135
2001-05-01,Building Mat. and Garden Equip. and Supplies Dealers,20147
2001-05-01,Food and Beverage Stores,38439
2001-05-01,Health and Personal Care Stores,13812
2001-05-01,Gasoline Stations,22628
2001-05-01,Clothing and Clothing Access. Stores,13950
2001-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5679
2001-05-01,General Merchandise Stores,35202
2001-05-01,Miscellaneous Store Retailers,8752
2001-05-01,Nonstore Retailers,14876
2001-05-01,Food Services and Drinking Places,26278
2001-06-01,Motor Vehicle and Parts Dealers,66710
2001-06-01,Furniture and Home Furnishings Stores,7613
2001-06-01,Electronics and Appliance Stores,7246
2001-06-01,Building Mat. and Garden Equip. and Supplies Dealers,19900
2001-06-01,Food and Beverage Stores,38569
2001-06-01,Health and Personal Care Stores,13843
2001-06-01,Gasoline Stations,21928
2001-06-01,Clothing and Clothing Access. Stores,13804
2001-06-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5621
2001-06-01,General Merchandise Stores,35114
2001-06-01,Miscellaneous Store Retailers,8693
2001-06-01,Nonstore Retailers,14981
2001-06-01,Food Services and Drinking Places,26379
2001-07-01,Motor Vehicle and Parts Dealers,66067
2001-07-01,Furniture and Home Furnishings Stores,7671
2001-07-01,Electronics and Appliance Stores,7298
2001-07-01,Building Mat. and Garden Equip. and Supplies Dealers,19838
2001-07-01,Food and Beverage Stores,38506
2001-07-01,Health and Personal Care Stores,13879
2001-07-01,Gasoline Stations,20686
2001-07-01,Clothing and Clothing Access. Stores,13994
2001-07-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5703
2001-07-01,General Merchandise Stores,35720
2001-07-01,Miscellaneous Store Retailers,8671
2001-07-01,Nonstore Retailers,14964
2001-07-01,Food Services and Drinking Places,26507
2001-08-01,Motor Vehicle and Parts Dealers,66350
2001-08-01,Furniture and Home Furnishings Stores,7628
2001-08-01,Electronics and Appliance Stores,7276
2001-08-01,Building Mat. and Garden Equip. and Supplies Dealers,19920
2001-08-01,Food and Beverage Stores,38738
2001-08-01,Health and Personal Care Stores,14004
2001-08-01,Gasoline Stations,20878
2001-08-01,Clothing and Clothing Access. Stores,14171
2001-08-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5775
2001-08-01,General Merchandise Stores,35915
2001-08-01,Miscellaneous Store Retailers,8691
2001-08-01,Nonstore Retailers,15214
2001-08-01,Food Services and Drinking Places,26853
2001-09-01,Motor Vehicle and Parts Dealers,63929
2001-09-01,Furniture and Home Furnishings Stores,7419
2001-09-01,Electronics and Appliance Stores,7141
2001-09-01,Building Mat. and Garden Equip. and Supplies Dealers,19664
2001-09-01,Food and Beverage Stores,38832
2001-09-01,Health and Personal Care Stores,13894
2001-09-01,Gasoline Stations,21336
2001-09-01,Clothing and Clothing Access. Stores,13286
2001-09-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5672
2001-09-01,General Merchandise Stores,35822
2001-09-01,Miscellaneous Store Retailers,8377
2001-09-01,Nonstore Retailers,14473
2001-09-01,Food Services and Drinking Places,26239
2001-10-01,Motor Vehicle and Parts Dealers,80455
2001-10-01,Furniture and Home Furnishings Stores,7543
2001-10-01,Electronics and Appliance Stores,7237
2001-10-01,Building Mat. and Garden Equip. and Supplies Dealers,20054
2001-10-01,Food and Beverage Stores,38944
2001-10-01,Health and Personal Care Stores,14298
2001-10-01,Gasoline Stations,20033
2001-10-01,Clothing and Clothing Access. Stores,13973
2001-10-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5798
2001-10-01,General Merchandise Stores,36229
2001-10-01,Miscellaneous Store Retailers,8456
2001-10-01,Nonstore Retailers,14979
2001-10-01,Food Services and Drinking Places,26541
2001-11-01,Motor Vehicle and Parts Dealers,72413
2001-11-01,Furniture and Home Furnishings Stores,7694
2001-11-01,Electronics and Appliance Stores,7662
2001-11-01,Building Mat. and Garden Equip. and Supplies Dealers,19982
2001-11-01,Food and Beverage Stores,39161
2001-11-01,Health and Personal Care Stores,14280
2001-11-01,Gasoline Stations,19245
2001-11-01,Clothing and Clothing Access. Stores,13970
2001-11-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",6066
2001-11-01,General Merchandise Stores,36656
2001-11-01,Miscellaneous Store Retailers,8548
2001-11-01,Nonstore Retailers,14837
2001-11-01,Food Services and Drinking Places,26597
2001-12-01,Motor Vehicle and Parts Dealers,68220
2001-12-01,Furniture and Home Furnishings Stores,7869
2001-12-01,Electronics and Appliance Stores,7825
2001-12-01,Building Mat. and Garden Equip. and Supplies Dealers,20120
2001-12-01,Food and Beverage Stores,38996
2001-12-01,Health and Personal Care Stores,14350
2001-12-01,Gasoline Stations,18950
2001-12-01,Clothing and Clothing Access. Stores,14126
2001-12-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5797
2001-12-01,General Merchandise Stores,37054
2001-12-01,Miscellaneous Store Retailers,8432
2001-12-01,Nonstore Retailers,14810
2001-12-01,Food Services and Drinking Places,27156
2002-01-01,Motor Vehicle and Parts Dealers,67665
2002-01-01,Furniture and Home Furnishings Stores,7847
2002-01-01,Electronics and Appliance Stores,7604
2002-01-01,Building Mat. and Garden Equip. and Supplies Dealers,20359
2002-01-01,Food and Beverage Stores,38833
2002-01-01,Health and Personal Care Stores,14525
2002-01-01,Gasoline Stations,19130
2002-01-01,Clothing and Clothing Access. Stores,14220
2002-01-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5775
2002-01-01,General Merchandise Stores,36811
2002-01-01,Miscellaneous Store Retailers,8447
2002-01-01,Nonstore Retailers,15091
2002-01-01,Food Services and Drinking Places,27201
2002-02-01,Motor Vehicle and Parts Dealers,68168
2002-02-01,Furniture and Home Furnishings Stores,7932
2002-02-01,Electronics and Appliance Stores,7643
2002-02-01,Building Mat. and Garden Equip. and Supplies Dealers,20515
2002-02-01,Food and Beverage Stores,38885
2002-02-01,Health and Personal Care Stores,14747
2002-02-01,Gasoline Stations,19068
2002-02-01,Clothing and Clothing Access. Stores,14357
2002-02-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5711
2002-02-01,General Merchandise Stores,36974
2002-02-01,Miscellaneous Store Retailers,8616
2002-02-01,Nonstore Retailers,15054
2002-02-01,Food Services and Drinking Places,27384
2002-03-01,Motor Vehicle and Parts Dealers,66570
2002-03-01,Furniture and Home Furnishings Stores,7936
2002-03-01,Electronics and Appliance Stores,7690
2002-03-01,Building Mat. and Garden Equip. and Supplies Dealers,20370
2002-03-01,Food and Beverage Stores,38913
2002-03-01,Health and Personal Care Stores,14745
2002-03-01,Gasoline Stations,19813
2002-03-01,Clothing and Clothing Access. Stores,14436
2002-03-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5717
2002-03-01,General Merchandise Stores,37144
2002-03-01,Miscellaneous Store Retailers,8380
2002-03-01,Nonstore Retailers,15345
2002-03-01,Food Services and Drinking Places,27203
2002-04-01,Motor Vehicle and Parts Dealers,68251
2002-04-01,Furniture and Home Furnishings Stores,7874
2002-04-01,Electronics and Appliance Stores,7616
2002-04-01,Building Mat. and Garden Equip. and Supplies Dealers,21274
2002-04-01,Food and Beverage Stores,38568
2002-04-01,Health and Personal Care Stores,14940
2002-04-01,Gasoline Stations,20856
2002-04-01,Clothing and Clothing Access. Stores,14410
2002-04-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5799
2002-04-01,General Merchandise Stores,37491
2002-04-01,Miscellaneous Store Retailers,8579
2002-04-01,Nonstore Retailers,15675
2002-04-01,Food Services and Drinking Places,27500
2002-05-01,Motor Vehicle and Parts Dealers,65062
2002-05-01,Furniture and Home Furnishings Stores,7959
2002-05-01,Electronics and Appliance Stores,7678
2002-05-01,Building Mat. and Garden Equip. and Supplies Dealers,20874
2002-05-01,Food and Beverage Stores,38713
2002-05-01,Health and Personal Care Stores,14903
2002-05-01,Gasoline Stations,20930
2002-05-01,Clothing and Clothing Access. Stores,14220
2002-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5731
2002-05-01,General Merchandise Stores,37114
2002-05-01,Miscellaneous Store Retailers,8539
2002-05-01,Nonstore Retailers,15850
2002-05-01,Food Services and Drinking Places,27378
2002-06-01,Motor Vehicle and Parts Dealers,67354
2002-06-01,Furniture and Home Furnishings Stores,7831
2002-06-01,Electronics and Appliance Stores,7656
2002-06-01,Building Mat. and Garden Equip. and Supplies Dealers,20725
2002-06-01,Food and Beverage Stores,38723
2002-06-01,Health and Personal Care Stores,14947
2002-06-01,Gasoline Stations,20733
2002-06-01,Clothing and Clothing Access. Stores,14366
2002-06-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5670
2002-06-01,General Merchandise Stores,37417
2002-06-01,Miscellaneous Store Retailers,8639
2002-06-01,Nonstore Retailers,15725
2002-06-01,Food Services and Drinking Places,27586
2002-07-01,Motor Vehicle and Parts Dealers,69944
2002-07-01,Furniture and Home Furnishings Stores,7741
2002-07-01,Electronics and Appliance Stores,7543
2002-07-01,Building Mat. and Garden Equip. and Supplies Dealers,20674
2002-07-01,Food and Beverage Stores,38834
2002-07-01,Health and Personal Care Stores,15004
2002-07-01,Gasoline Stations,21438
2002-07-01,Clothing and Clothing Access. Stores,14200
2002-07-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5666
2002-07-01,General Merchandise Stores,37132
2002-07-01,Miscellaneous Store Retailers,8575
2002-07-01,Nonstore Retailers,16018
2002-07-01,Food Services and Drinking Places,27616
2002-08-01,Motor Vehicle and Parts Dealers,72204
2002-08-01,Furniture and Home Furnishings Stores,7837
2002-08-01,Electronics and Appliance Stores,7520
2002-08-01,Building Mat. and Garden Equip. and Supplies Dealers,20683
2002-08-01,Food and Beverage Stores,38647
2002-08-01,Health and Personal Care Stores,15120
2002-08-01,Gasoline Stations,21182
2002-08-01,Clothing and Clothing Access. Stores,14338
2002-08-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5689
2002-08-01,General Merchandise Stores,37202
2002-08-01,Miscellaneous Store Retailers,8740
2002-08-01,Nonstore Retailers,15881
2002-08-01,Food Services and Drinking Places,27607
2002-09-01,Motor Vehicle and Parts Dealers,68066
2002-09-01,Furniture and Home Furnishings Stores,7832
2002-09-01,Electronics and Appliance Stores,7511
2002-09-01,Building Mat. and Garden Equip. and Supplies Dealers,20732
2002-09-01,Food and Beverage Stores,38599
2002-09-01,Health and Personal Care Stores,15288
2002-09-01,Gasoline Stations,21272
2002-09-01,Clothing and Clothing Access. Stores,13966
2002-09-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5852
2002-09-01,General Merchandise Stores,37059
2002-09-01,Miscellaneous Store Retailers,8724
2002-09-01,Nonstore Retailers,15725
2002-09-01,Food Services and Drinking Places,27784
2002-10-01,Motor Vehicle and Parts Dealers,67553
2002-10-01,Furniture and Home Furnishings Stores,7789
2002-10-01,Electronics and Appliance Stores,7522
2002-10-01,Building Mat. and Garden Equip. and Supplies Dealers,20603
2002-10-01,Food and Beverage Stores,38693
2002-10-01,Health and Personal Care Stores,15298
2002-10-01,Gasoline Stations,21659
2002-10-01,Clothing and Clothing Access. Stores,14625
2002-10-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5839
2002-10-01,General Merchandise Stores,37816
2002-10-01,Miscellaneous Store Retailers,8579
2002-10-01,Nonstore Retailers,15977
2002-10-01,Food Services and Drinking Places,27623
2002-11-01,Motor Vehicle and Parts Dealers,67931
2002-11-01,Furniture and Home Furnishings Stores,7963
2002-11-01,Electronics and Appliance Stores,7545
2002-11-01,Building Mat. and Garden Equip. and Supplies Dealers,20969
2002-11-01,Food and Beverage Stores,38886
2002-11-01,Health and Personal Care Stores,15348
2002-11-01,Gasoline Stations,22009
2002-11-01,Clothing and Clothing Access. Stores,14456
2002-11-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5985
2002-11-01,General Merchandise Stores,37698
2002-11-01,Miscellaneous Store Retailers,8362
2002-11-01,Nonstore Retailers,16416
2002-11-01,Food Services and Drinking Places,27916
2002-12-01,Motor Vehicle and Parts Dealers,69794
2002-12-01,Furniture and Home Furnishings Stores,7927
2002-12-01,Electronics and Appliance Stores,7660
2002-12-01,Building Mat. and Garden Equip. and Supplies Dealers,20415
2002-12-01,Food and Beverage Stores,39072
2002-12-01,Health and Personal Care Stores,15293
2002-12-01,Gasoline Stations,22464
2002-12-01,Clothing and Clothing Access. Stores,14714
2002-12-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5809
2002-12-01,General Merchandise Stores,37716
2002-12-01,Miscellaneous Store Retailers,8569
2002-12-01,Nonstore Retailers,16497
2002-12-01,Food Services and Drinking Places,28017
2003-01-01,Motor Vehicle and Parts Dealers,69673
2003-01-01,Furniture and Home Furnishings Stores,7824
2003-01-01,Electronics and Appliance Stores,7439
2003-01-01,Building Mat. and Garden Equip. and Supplies Dealers,21270
2003-01-01,Food and Beverage Stores,39412
2003-01-01,Health and Personal Care Stores,15441
2003-01-01,Gasoline Stations,23073
2003-01-01,Clothing and Clothing Access. Stores,14565
2003-01-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5794
2003-01-01,General Merchandise Stores,37740
2003-01-01,Miscellaneous Store Retailers,8565
2003-01-01,Nonstore Retailers,16434
2003-01-01,Food Services and Drinking Places,28018
2003-02-01,Motor Vehicle and Parts Dealers,66535
2003-02-01,Furniture and Home Furnishings Stores,7501
2003-02-01,Electronics and Appliance Stores,7354
2003-02-01,Building Mat. and Garden Equip. and Supplies Dealers,20041
2003-02-01,Food and Beverage Stores,39285
2003-02-01,Health and Personal Care Stores,15534
2003-02-01,Gasoline Stations,23885
2003-02-01,Clothing and Clothing Access. Stores,14142
2003-02-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5576
2003-02-01,General Merchandise Stores,38030
2003-02-01,Miscellaneous Store Retailers,8372
2003-02-01,Nonstore Retailers,16933
2003-02-01,Food Services and Drinking Places,27979
2003-03-01,Motor Vehicle and Parts Dealers,68628
2003-03-01,Furniture and Home Furnishings Stores,7854
2003-03-01,Electronics and Appliance Stores,7364
2003-03-01,Building Mat. and Garden Equip. and Supplies Dealers,21326
2003-03-01,Food and Beverage Stores,39318
2003-03-01,Health and Personal Care Stores,15677
2003-03-01,Gasoline Stations,23968
2003-03-01,Clothing and Clothing Access. Stores,14465
2003-03-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5660
2003-03-01,General Merchandise Stores,38391
2003-03-01,Miscellaneous Store Retailers,8405
2003-03-01,Nonstore Retailers,16764
2003-03-01,Food Services and Drinking Places,28505
2003-04-01,Motor Vehicle and Parts Dealers,69580
2003-04-01,Furniture and Home Furnishings Stores,7895
2003-04-01,Electronics and Appliance Stores,7440
2003-04-01,Building Mat. and Garden Equip. and Supplies Dealers,21139
2003-04-01,Food and Beverage Stores,39441
2003-04-01,Health and Personal Care Stores,15705
2003-04-01,Gasoline Stations,22581
2003-04-01,Clothing and Clothing Access. Stores,14434
2003-04-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5709
2003-04-01,General Merchandise Stores,38321
2003-04-01,Miscellaneous Store Retailers,8359
2003-04-01,Nonstore Retailers,16593
2003-04-01,Food Services and Drinking Places,28403
2003-05-01,Motor Vehicle and Parts Dealers,69660
2003-05-01,Furniture and Home Furnishings Stores,8062
2003-05-01,Electronics and Appliance Stores,7563
2003-05-01,Building Mat. and Garden Equip. and Supplies Dealers,21328
2003-05-01,Food and Beverage Stores,39019
2003-05-01,Health and Personal Care Stores,15791
2003-05-01,Gasoline Stations,21810
2003-05-01,Clothing and Clothing Access. Stores,14651
2003-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5748
2003-05-01,General Merchandise Stores,38483
2003-05-01,Miscellaneous Store Retailers,8525
2003-05-01,Nonstore Retailers,16722
2003-05-01,Food Services and Drinking Places,29048
2003-06-01,Motor Vehicle and Parts Dealers,70325
2003-06-01,Furniture and Home Furnishings Stores,8084
2003-06-01,Electronics and Appliance Stores,7650
2003-06-01,Building Mat. and Garden Equip. and Supplies Dealers,22003
2003-06-01,Food and Beverage Stores,39480
2003-06-01,Health and Personal Care Stores,15934
2003-06-01,Gasoline Stations,21777
2003-06-01,Clothing and Clothing Access. Stores,14894
2003-06-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5908
2003-06-01,General Merchandise Stores,38866
2003-06-01,Miscellaneous Store Retailers,8537
2003-06-01,Nonstore Retailers,16938
2003-06-01,Food Services and Drinking Places,29230
2003-07-01,Motor Vehicle and Parts Dealers,71049
2003-07-01,Furniture and Home Furnishings Stores,8115
2003-07-01,Electronics and Appliance Stores,7731
2003-07-01,Building Mat. and Garden Equip. and Supplies Dealers,22372
2003-07-01,Food and Beverage Stores,39808
2003-07-01,Health and Personal Care Stores,16182
2003-07-01,Gasoline Stations,22196
2003-07-01,Clothing and Clothing Access. Stores,15141
2003-07-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5808
2003-07-01,General Merchandise Stores,39404
2003-07-01,Miscellaneous Store Retailers,8497
